,precision,recall,f1-score,support
crazing,1.0,1.0,1.0,45.0
inclusion,0.9782608695652174,1.0,0.989010989010989,45.0
patches,1.0,1.0,1.0,45.0
pitted_surface,1.0,0.9777777777777777,0.9887640449438202,45.0
rolled-in_scale,1.0,1.0,1.0,45.0
scratches,1.0,1.0,1.0,45.0
accuracy,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.9962962962962963
macro avg,0.9963768115942028,0.9962962962962963,0.9962958389924682,270.0
weighted avg,0.9963768115942028,0.9962962962962963,0.9962958389924682,270.0
